Country Code,Name,Location,URL
NO,Solberg & Hansen AS,"Enebakkveien 125, 0680 Oslo",https://sh.no/
NO,Tim Wendelboe AS,"Grüners gate 1, 0552 Oslo",https://www.timwendelboe.no/
NO,Kaffebrenneriet AS,"Grønlandsleiret 32, 0190 Oslo",https://www.kaffebrenneriet.no/
NO,Kaffa Oslo,"Enebakkveien 117, 0680 Oslo",https://www.kaffa.no/
NO,Jacobsen & Svart,"Ferjemannsveien 8, 7014 Trondheim",https://www.jacobsensvart.no/
NO,Pala Kaffebrenneri,"Nardoveien 10, 7043 Trondheim",https://www.pala.no/
NO,Storm Kaffe,"Jarleveien 8A, 7041 Trondheim",https://www.stormkaffe.no/
NO,Langøra Kaffebrenneri,"Hjelseng Gård, 7506 Stjørdal",https://www.langorakaffe.no/
NO,Kaffebrenneri Brent,"Dreyersgate 3, 8312 Henningsvær",http://www.brentkaffe.no/
NO,Bønner i byen AS,"Bodøsjøveien 50, 8013 Bodø",https://bonneribyen.no/
